MaxTemp,MinTemp,PoorWeather,PRCP,SNF,SND,month_sin,month_cos,day_of_year_sin,day_of_year_cos,STA_target_encoded,Has_Weather_Event
25.55555556,22.22222222,0,0.04,0.0,0.0,-0.4999999999999997,-0.8660254037844388,0.01075130776352193,-0.9999422030204416,22.52040718312014,0
28.88888889,21.66666667,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.00645086419810515,-0.9999791929590823,22.52040718312014,0
26.11111111,22.22222222,0,0.1,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.023651127245231586,-0.9997202729664083,22.52040718312014,0
26.66666667,22.22222222,0,0.1,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.04084439154329611,-0.9991655196610109,22.52040718312014,0
26.66666667,21.66666667,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.05802556932878035,-0.9983150972033183,22.52040718312014,0
26.66666667,21.66666667,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.07518957641475855,-0.9971692572470178,22.52040718312014,0
28.33333333,22.77777778,0,0.01,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.09233133369539122,-0.9957283388645872,22.52040718312014,0
26.66666667,22.22222222,0,0.14,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.10944576864891556,-0.993992768446958,22.52040718312014,0
27.22222222,22.77777778,0,0.01,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.12652781683868314,-0.9919630595773397,22.52040718312014,0
25.55555556,21.66666667,0,0.14,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.1435724234118113,-0.9896398128792412,22.52040718312014,0
25.55555556,21.66666667,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.16057454459499376,-0.9870237158387383,22.52040718312014,0
24.44444444,22.22222222,0,0.02,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.17752914918703497,-0.984115542601034,22.52040718312014,0
26.11111111,21.66666667,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.19443122004766195,-0.9809161537413774,22.52040718312014,0
26.11111111,22.22222222,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.2112757555821793,-0.9774264960104055,22.52040718312014,0
25.55555556,22.77777778,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.2280577712215198,-0.9736476020539838,22.52040718312014,0
26.11111111,21.11111111,0,0.01,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.24477230089725957,-0.9695805901076308,22.52040718312014,0
28.33333333,22.22222222,0,0.01,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.2614143985111562,-0.965226663665613,22.52040718312014,0
26.66666667,21.11111111,0,0.01,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.2779791393987801,-0.9605871111248129,22.52040718312014,0
27.77777778,21.66666667,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.2944616217868012,-0.9556633054034704,22.52040718312014,0
26.11111111,20.0,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.3108569682435036,-0.9504567035349151,22.52040718312014,0
24.44444444,21.66666667,0,0.01,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.3271603271220951,-0.9449688462364056,22.52040718312014,0
24.44444444,21.11111111,0,0.01,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.34336687399638804,-0.939201357453208,22.52040718312014,0
26.66666667,20.55555556,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.3594718130884232,-0.9331559438780432,22.52040718312014,0
27.22222222,18.88888889,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.3754703786876202,-0.9268343944460494,22.52040718312014,0
27.22222222,19.44444444,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.3913578365610259,-0.9202385798054075,22.52040718312014,0
25.55555556,19.44444444,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.4071294853542516,-0.9133704517637858,22.52040718312014,0
25.55555556,19.44444444,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.4227806579826773,-0.9062320427107697,22.52040718312014,0
26.66666667,19.44444444,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.4383067230125192,-0.898825465016444,22.52040718312014,0
26.66666667,19.44444444,0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,-0.45370308603134424,-0.8911529104063088,22.52040718312014,0
